settlementDate,cusip,maturity,coupon,baseCpi,price,yield
2026-03-02,91282CCA7,2026-04-15,0.00125,262.25027,100.09375,-0.00648852
2026-03-02,912828S50,2026-07-15,0.00125,239.70132,100.625,-0.01539539
2026-03-02,91282CDC2,2026-10-15,0.00125,273.25771,100.25,-0.00277017
2026-03-02,912828V49,2027-01-15,0.00375,241.55919,99.78125,0.00626608
2026-03-02,912810PS1,2027-01-15,0.02375,201.66452,101.46875,0.00684098
2026-03-02,91282CEJ6,2027-04-15,0.00125,282.3464,99.15625,0.00883127
2026-03-02,9128282L3,2027-07-15,0.00375,244.61839,99.8125,0.00512192
2026-03-02,91282CFR7,2027-10-15,0.01625,296.22858,101.5625,0.00654170
2026-03-02,9128283R9,2028-01-15,0.005,246.66571,99.25,0.00904692
2026-03-02,912810PV4,2028-01-15,0.0175,209.49645,101.53125,0.00923249
2026-03-02,912810FD5,2028-04-15,0.03625,161.74,105.53125,0.00982930
2026-03-02,91282CGW5,2028-04-15,0.0125,299.94933,100.5,0.01010979
2026-03-02,912828Y38,2028-07-15,0.0075,251.01658,99.875,0.00803226
2026-03-02,91282CJH5,2028-10-15,0.02375,306.2939,103.90625,0.00864223
2026-03-02,9128285W6,2029-01-15,0.00875,252.50248,99.625,0.01007682
2026-03-02,912810PZ5,2029-01-15,0.025,214.69971,104.1875,0.01017113
2026-03-02,912810FH6,2029-04-15,0.03875,164.39333,108.53125,0.01087028
2026-03-02,91282CKL4,2029-04-15,0.02125,309.30787,103.1875,0.01083354
2026-03-02,9128287D6,2029-07-15,0.0025,255.79368,97.6875,0.00948235
2026-03-02,91282CLV1,2029-10-15,0.01625,314.65561,102.1875,0.01008144
2026-03-02,912828Z37,2030-01-15,0.00125,257.28368,96.25,0.01117048
2026-03-02,91282CNB3,2030-04-15,0.01625,318.32947,101.8125,0.01173053
2026-03-02,912828ZZ6,2030-07-15,0.00125,256.39126,95.9375,0.01078587
2026-03-02,91282CPH8,2030-10-15,0.01125,323.4671,100,0.01124936
2026-03-02,91282CBF7,2031-01-15,0.00125,260.31619,94.875,0.01211246
2026-03-02,91282CCM1,2031-07-15,0.00125,268.0209,94.40625,0.01203235
2026-03-02,91282CDX6,2032-01-15,0.00125,277.20274,93.1875,0.01334906
2026-03-02,912810FQ6,2032-04-15,0.03375,177.5,111.90625,0.01342129
2026-03-02,91282CEZ0,2032-07-15,0.00625,290.54829,95.6875,0.01333061
2026-03-02,91282CGK1,2033-01-15,0.01125,297.87606,97.875,0.01450916
2026-03-02,91282CHP9,2033-07-15,0.01375,303.70803,99.40625,0.01460169
2026-03-02,91282CJY8,2034-01-15,0.0175,307.391,101.34375,0.01567815
2026-03-02,91282CLE9,2034-07-15,0.01875,313.78329,102.3125,0.01578977
2026-03-02,91282CML2,2035-01-15,0.02125,315.58677,103.65625,0.01679636
2026-03-02,91282CNS6,2035-07-15,0.01875,321.09758,101.5625,0.01693922
2026-03-02,91282CPU9,2036-01-15,0.01875,324.93471,101,0.01764105
2026-03-02,912810QF8,2040-02-15,0.02125,216.1395,101.0625,0.02037129
2026-03-02,912810QP6,2041-02-15,0.02125,218.991,100.0625,0.02120069
2026-03-02,912810QV3,2042-02-15,0.0075,225.96062,80,0.02248454
2026-03-02,912810RA8,2043-02-15,0.00625,229.911,76.59375,0.02299584
2026-03-02,912810RF7,2044-02-15,0.01375,233.059,85.9375,0.02338430
2026-03-02,912810RL4,2045-02-15,0.0075,235.4815,75.03125,0.02396516
2026-03-02,912810RR1,2046-02-15,0.01,236.94448,77.46875,0.02431611
2026-03-02,912810RW0,2047-02-15,0.00875,241.3925,74.21875,0.02456122
2026-03-02,912810SB5,2048-02-15,0.01,246.5965,75.1875,0.02470883
2026-03-02,912810SG4,2049-02-15,0.01,251.6355,74.15625,0.02483728
2026-03-02,912810SM1,2050-02-15,0.0025,257.09503,59.5625,0.02504848
2026-03-02,912810SV1,2051-02-15,0.00125,260.3515,56.03125,0.02505070
2026-03-02,912810TE8,2052-02-15,0.00125,278.375,54.75,0.02506986
2026-03-02,912810TP3,2053-02-15,0.015,297.254,80.21875,0.02514800
2026-03-02,912810TY4,2054-02-15,0.02125,306.90376,92.34375,0.02507582
2026-03-02,912810UH9,2055-02-15,0.02375,315.549,97.5,0.02496756
2026-03-02,912810US5,2056-02-15,0.02375,324.088,97.625,0.02487900
